C:\Users\Public\Documents\Thermo\RheoWin\Data\2017\Karl\teste5 13.56.21.rwd
Company / Operator: UNICAMP / IQ
Date / Time / Version: 11.10.2017 / 13:47:12 / HAAKE RheoWin 4.63.0003
Substance / Sample no: teste5 / 

;GP in 1/s;Tau in Pa;Eta in Pas;T in °C;t in s;t_seg in s;
1|1; ;0,06661; ; ;17,82;7,233;
1|2; ;0,09770; ; ;22,58;11,99;
1|3; ;0,1458; ; ;27,31;16,73;
1|4; ;0,2274; ; ;32,10;21,51;
1|5; ;0,4026; ; ;36,87;26,28;
1|6; ;0,5925; ; ;41,64;31,05;
1|7; ;0,9470; ; ;46,36;35,78;
1|8; ;1,455; ; ;51,06;40,47;
1|9; ;2,143; ; ;55,76;45,17;
1|10; ;3,308; ; ;60,59;50,01;
2|1; ;0,1010; ; ;101,6;40,41;
2|2; ;0,1022; ; ;129,7;68,51;
2|3; ;0,1047; ; ;149,0;87,88;
2|4; ;0,1108; ; ;162,5;101,4;
2|5; ;0,1265; ; ;171,9;110,8;
2|6; ;0,1771; ; ;178,5;117,4;
2|7; ;0,6795; ; ;186,3;125,2;
2|8; ;0,1371; ; ;193,1;132,0;
2|9; ;0,04715; ; ;200,0;138,8;
2|10; ;0,01657; ; ;205,8;144,7;
2|11; ;0,01688; ; ;211,1;149,9;
3|1;0,0009999;0,01350;13,50; ;244,6;33,01;
3|2;0,002154;0,04494;20,87; ;277,7;66,01;
3|3;0,004638;0,1119;24,13; ;310,8;99,15;
3|4;0,009996;0,2465;24,66; ;343,9;132,3;
3|5;0,02154;0,4976;23,10; ;377,1;165,5;
3|6;0,04641;0,9777;21,07; ;410,3;198,7;
3|7;0,09999;1,769;17,69; ;443,4;231,8;
3|8;0,2154;2,624;12,18; ;476,4;264,8;
3|9;0,4641;3,045;6,561; ;509,6;297,9;
3|10;0,9999;3,206;3,207; ;542,7;331,1;
